factory_id,employee_id,sick,date
1,1,0,2019-10-31
1,2,0,2019-10-31
1,3,0,2019-10-31
1,4,0,2019-10-31
1,5,0,2019-10-31
1,6,0,2019-10-31
1,7,0,2019-10-31
1,8,0,2019-10-31
1,9,0,2019-10-31
1,10,0,2019-10-31
1,11,0,2019-10-31
1,12,0,2019-10-31
1,13,0,2019-10-31
1,14,0,2019-10-31
1,15,0,2019-10-31
1,16,0,2019-10-31
1,17,0,2019-10-31
1,18,0,2019-10-31
1,19,0,2019-10-31
1,20,0,2019-10-31
1,21,0,2019-10-31
1,22,0,2019-10-31
1,23,0,2019-10-31
1,24,0,2019-10-31
1,25,0,2019-10-31
1,26,0,2019-10-31
1,27,0,2019-10-31
1,28,0,2019-10-31
1,29,0,2019-10-31
1,30,0,2019-10-31
1,31,0,2019-10-31
1,32,0,2019-10-31
1,33,0,2019-10-31
1,34,0,2019-10-31
1,35,0,2019-10-31
1,36,0,2019-10-31
1,37,0,2019-10-31
1,38,0,2019-10-31
1,39,0,2019-10-31
1,40,0,2019-10-31
1,41,0,2019-10-31
1,42,0,2019-10-31
1,43,0,2019-10-31
1,44,0,2019-10-31
1,45,0,2019-10-31
1,46,0,2019-10-31
1,47,0,2019-10-31
1,48,0,2019-10-31
1,49,0,2019-10-31
1,50,0,2019-10-31
1,51,0,2019-10-31
1,52,0,2019-10-31
1,53,0,2019-10-31
1,54,0,2019-10-31
1,55,0,2019-10-31
1,56,0,2019-10-31
1,57,0,2019-10-31
1,58,0,2019-10-31
1,59,0,2019-10-31
1,60,0,2019-10-31
1,61,0,2019-10-31
1,62,0,2019-10-31
1,63,0,2019-10-31
1,64,0,2019-10-31
1,65,1,2019-10-31
1,66,0,2019-10-31
1,67,0,2019-10-31
1,68,0,2019-10-31
1,69,0,2019-10-31
1,70,0,2019-10-31
1,71,0,2019-10-31
1,72,0,2019-10-31
1,73,0,2019-10-31
1,74,0,2019-10-31
1,75,0,2019-10-31
1,76,0,2019-10-31
1,77,0,2019-10-31
1,78,0,2019-10-31
1,79,0,2019-10-31
1,80,0,2019-10-31
1,81,0,2019-10-31
1,82,0,2019-10-31
1,83,0,2019-10-31
1,84,0,2019-10-31
1,85,0,2019-10-31
1,86,0,2019-10-31
1,87,0,2019-10-31
1,88,0,2019-10-31
1,89,0,2019-10-31
1,90,0,2019-10-31
1,91,0,2019-10-31
1,92,0,2019-10-31
1,93,0,2019-10-31
1,94,0,2019-10-31
1,95,0,2019-10-31
1,96,0,2019-10-31
1,97,0,2019-10-31
1,98,0,2019-10-31
1,99,0,2019-10-31
1,100,0,2019-10-31
1,101,0,2019-10-31
1,102,0,2019-10-31
1,103,0,2019-10-31
1,104,0,2019-10-31
1,105,0,2019-10-31
1,106,0,2019-10-31
1,107,0,2019-10-31
1,108,0,2019-10-31
1,109,0,2019-10-31
1,110,0,2019-10-31
2,1,0,2019-10-31
2,2,0,2019-10-31
2,3,0,2019-10-31
2,4,0,2019-10-31
2,5,0,2019-10-31
2,6,0,2019-10-31
2,7,0,2019-10-31
2,8,0,2019-10-31
2,9,0,2019-10-31
2,10,0,2019-10-31
2,11,0,2019-10-31
2,12,0,2019-10-31
2,13,0,2019-10-31
2,14,1,2019-10-31
2,15,0,2019-10-31
2,16,0,2019-10-31
2,17,0,2019-10-31
2,18,0,2019-10-31
2,19,0,2019-10-31
2,20,0,2019-10-31
2,21,0,2019-10-31
2,22,0,2019-10-31
2,23,0,2019-10-31
2,24,0,2019-10-31
2,25,0,2019-10-31
2,26,0,2019-10-31
2,27,0,2019-10-31
2,28,0,2019-10-31
2,29,0,2019-10-31
2,30,0,2019-10-31
2,31,0,2019-10-31
2,32,0,2019-10-31
2,33,0,2019-10-31
2,34,1,2019-10-31
2,35,0,2019-10-31
2,36,0,2019-10-31
2,37,0,2019-10-31
2,38,0,2019-10-31
2,39,0,2019-10-31
2,40,0,2019-10-31
2,41,0,2019-10-31
2,42,0,2019-10-31
2,43,0,2019-10-31
2,44,0,2019-10-31
2,45,0,2019-10-31
2,46,0,2019-10-31
2,47,0,2019-10-31
2,48,0,2019-10-31
2,49,0,2019-10-31
2,50,0,2019-10-31
2,51,0,2019-10-31
2,52,0,2019-10-31
2,53,0,2019-10-31
2,54,0,2019-10-31
2,55,0,2019-10-31
2,56,0,2019-10-31
2,57,1,2019-10-31
2,58,0,2019-10-31
2,59,0,2019-10-31
2,60,0,2019-10-31
2,61,0,2019-10-31
2,62,0,2019-10-31
2,63,0,2019-10-31
2,64,0,2019-10-31
2,65,0,2019-10-31
2,66,0,2019-10-31
2,67,0,2019-10-31
2,68,0,2019-10-31
2,69,0,2019-10-31
2,70,0,2019-10-31
2,71,0,2019-10-31
2,72,0,2019-10-31
2,73,0,2019-10-31
2,74,0,2019-10-31
2,75,0,2019-10-31
2,76,0,2019-10-31
2,77,0,2019-10-31
2,78,0,2019-10-31
2,79,0,2019-10-31
2,80,0,2019-10-31
2,81,0,2019-10-31
2,82,0,2019-10-31
2,83,0,2019-10-31
2,84,1,2019-10-31
2,85,0,2019-10-31
2,86,0,2019-10-31
2,87,0,2019-10-31
2,88,0,2019-10-31
2,89,0,2019-10-31
2,90,0,2019-10-31
2,91,0,2019-10-31
2,92,0,2019-10-31
2,93,0,2019-10-31
2,94,0,2019-10-31
2,95,0,2019-10-31
2,96,0,2019-10-31
2,97,0,2019-10-31
2,98,0,2019-10-31
2,99,0,2019-10-31
2,100,0,2019-10-31
2,101,0,2019-10-31
2,102,1,2019-10-31
2,103,0,2019-10-31
2,104,0,2019-10-31
2,105,0,2019-10-31
2,106,0,2019-10-31
2,107,0,2019-10-31
2,108,0,2019-10-31
2,109,0,2019-10-31
2,110,0,2019-10-31
3,1,0,2019-10-31
3,2,0,2019-10-31
3,3,0,2019-10-31
3,4,0,2019-10-31
3,5,0,2019-10-31
3,6,0,2019-10-31
3,7,0,2019-10-31
3,8,0,2019-10-31
3,9,0,2019-10-31
3,10,0,2019-10-31
3,11,0,2019-10-31
3,12,0,2019-10-31
3,13,0,2019-10-31
3,14,0,2019-10-31
3,15,0,2019-10-31
3,16,0,2019-10-31
3,17,0,2019-10-31
3,18,0,2019-10-31
3,19,1,2019-10-31
3,20,0,2019-10-31
3,21,0,2019-10-31
3,22,0,2019-10-31
3,23,0,2019-10-31
3,24,0,2019-10-31
3,25,0,2019-10-31
3,26,0,2019-10-31
3,27,0,2019-10-31
3,28,0,2019-10-31
3,29,0,2019-10-31
3,30,0,2019-10-31
3,31,0,2019-10-31
3,32,0,2019-10-31
3,33,0,2019-10-31
3,34,0,2019-10-31
3,35,0,2019-10-31
3,36,0,2019-10-31
3,37,0,2019-10-31
3,38,0,2019-10-31
3,39,0,2019-10-31
3,40,0,2019-10-31
3,41,0,2019-10-31
3,42,0,2019-10-31
3,43,0,2019-10-31
3,44,0,2019-10-31
3,45,0,2019-10-31
3,46,0,2019-10-31
3,47,0,2019-10-31
3,48,0,2019-10-31
3,49,0,2019-10-31
3,50,0,2019-10-31
3,51,0,2019-10-31
3,52,0,2019-10-31
3,53,0,2019-10-31
3,54,0,2019-10-31
3,55,0,2019-10-31
3,56,0,2019-10-31
3,57,0,2019-10-31
3,58,0,2019-10-31
3,59,0,2019-10-31
3,60,0,2019-10-31
3,61,0,2019-10-31
3,62,0,2019-10-31
3,63,0,2019-10-31
3,64,0,2019-10-31
3,65,0,2019-10-31
3,66,0,2019-10-31
3,67,0,2019-10-31
3,68,0,2019-10-31
3,69,0,2019-10-31
3,70,0,2019-10-31
3,71,0,2019-10-31
3,72,0,2019-10-31
3,73,0,2019-10-31
3,74,0,2019-10-31
3,75,0,2019-10-31
3,76,0,2019-10-31
3,77,0,2019-10-31
3,78,0,2019-10-31
3,79,0,2019-10-31
3,80,0,2019-10-31
3,81,0,2019-10-31
3,82,0,2019-10-31
3,83,0,2019-10-31
3,84,0,2019-10-31
3,85,0,2019-10-31
3,86,0,2019-10-31
3,87,0,2019-10-31
3,88,0,2019-10-31
3,89,0,2019-10-31
3,90,0,2019-10-31
3,91,0,2019-10-31
3,92,0,2019-10-31
3,93,0,2019-10-31
3,94,0,2019-10-31
3,95,0,2019-10-31
3,96,0,2019-10-31
3,97,0,2019-10-31
3,98,0,2019-10-31
3,99,0,2019-10-31
3,100,0,2019-10-31
3,101,0,2019-10-31
3,102,0,2019-10-31
3,103,0,2019-10-31
3,104,0,2019-10-31
3,105,0,2019-10-31
3,106,0,2019-10-31
3,107,0,2019-10-31
3,108,0,2019-10-31
3,109,0,2019-10-31
3,110,0,2019-10-31
4,1,0,2019-10-31
4,2,0,2019-10-31
4,3,0,2019-10-31
4,4,0,2019-10-31
4,5,0,2019-10-31
4,6,0,2019-10-31
4,7,0,2019-10-31
4,8,0,2019-10-31
4,9,0,2019-10-31
4,10,0,2019-10-31
4,11,0,2019-10-31
4,12,0,2019-10-31
4,13,0,2019-10-31
4,14,0,2019-10-31
4,15,0,2019-10-31
4,16,0,2019-10-31
4,17,0,2019-10-31
4,18,0,2019-10-31
4,19,0,2019-10-31
4,20,0,2019-10-31
4,21,0,2019-10-31
4,22,0,2019-10-31
